name,station
Nikko Sushi,Downtown Berkeley
Caffè Macaroni,Embarcadero
I Love Teriyaki & Sushi,Concord
Tay Ho Restaurant,12th St/Oakland City Center
Peony Restaurant,12th St/Oakland City Center
Ernest,16th St/Mission
Andersen Bakery,Civic Center/UN Plaza
Happy Lemon,Downtown Berkeley
Capital One 360 Café,Montgomery St
University Taqueria,Downtown Berkeley
The Sycamore,16th St/Mission
Rad Radish,Civic Center/UN Plaza
Lers Ros,Civic Center/UN Plaza
Taqueria Cancun,16th St/Mission
Gadani,Downtown Berkeley
El Tepa,16th St/Mission
Tea Hut,Downtown Berkeley
Sukho Thai,Rockridge
Ben 'N Nick's Bar & Grill,Rockridge
Highwire Coffee Roasters,Rockridge
Hudson Cafe,Rockridge
STK Steakhouse,Embarcadero
Grove To-Go,Montgomery St
Basil Thai Resaurant & Bar,Civic Center/UN Plaza
Gallardo's,16th St/Mission
Dolores Park Cafe,16th St/Mission
Bandit,16th St/Mission
Joe & The Juice,Montgomery St
Waterbar,Embarcadero
Starbucks,Fruitvale
CyBelles Pizza,Colma
Taqueria Los Altos,24th St/Mission
Mr. Pickle's Sandwich Shop,16th St/Mission
Blue Plate,24th St/Mission
Royal Cuckoo,24th St/Mission
Sweet Basil Thai Cuisine,24th St/Mission
Starbucks,Millbrae
Beloved Cafe,24th St/Mission
Salmon Bar,16th St/Mission
Red Bay Coffee,Ashby
SF Grill,16th St/Mission
Frisco Flavor,24th St/Mission
Variety Club Preview Room,Montgomery St
Good Good Culture Club,16th St/Mission
Roundup Saloon,Lafayette
Village Pizza,Orinda
Shadow Ultra Lounge,12th St/Oakland City Center
Nation's Giant Hamburgers,12th St/Oakland City Center
Awaken Cafe,12th St/Oakland City Center
Robin's Cafe,16th St/Mission
Curry King,Union City
Sweet Mex,Union City
Mountain Mike's,Union City
Mai's Kitchen,Union City
Tang's Haus,Union City
Thai Village,Union City
Mr Green Bubble,Union City
District,12th St/Oakland City Center
"T'chaka, Taste of Haiti",12th St/Oakland City Center
Brasa Bros,24th St/Mission
Bix,Embarcadero
Bar & Bean Fusion,Civic Center/UN Plaza
Cancún,Downtown Berkeley
Perry's,Embarcadero
Angler,Embarcadero
alaMar Dominican Kitchen and Bar,19th St/Oakland
The Cook and Her Farmer,12th St/Oakland City Center
Las Guerrera's,12th St/Oakland City Center
Special Xtra,Montgomery St
Local Kitchen & Wine Merchant,Montgomery St
The Phone Booth,24th St/Mission
Elsy's,24th St/Mission
Red Cafe,24th St/Mission
Pandora Karaoke Bar,Powell St
Cumaica,Civic Center/UN Plaza
Yakiniku Shodai,Civic Center/UN Plaza
All Star Cafe,Civic Center/UN Plaza
Moonglow at Gold Palm,19th St/Oakland
Rocco's Cafe,Civic Center/UN Plaza
Boudin SF,Fremont
Hayes Street Grill,Civic Center/UN Plaza
Rickhouse,Montgomery St
Starbucks,Lafayette
Roam Artisan Burgers,Lafayette
Sextant Coffee Roasters,Civic Center/UN Plaza
Berkeley Social Club,Downtown Berkeley
Daytrip Counter,MacArthur
The Hop Grenade,Concord
El Capitan Taqueria,Civic Center/UN Plaza
Huangcheng Noodle House,12th St/Oakland City Center
New Gold Medal,12th St/Oakland City Center
Tierra Mia,19th St/Oakland
Marin's Coffee and Kitchen,19th St/Oakland
Oakland Cafe,12th St/Oakland City Center
Osha Thai,Embarcadero
Stone Korean Kitchen,Embarcadero
Portumex,Richmond
Little Bird,12th St/Oakland City Center
Drexl,19th St/Oakland
Local Edition,Montgomery St
Tane Vegan Izakaya,Downtown Berkeley
Odin,Lake Merritt
Taqueria Guadalajara,24th St/Mission
Big Chef Tom's Belly Burgers,Civic Center/UN Plaza
Hoi Polloi,Ashby
Caravaggio,Downtown Berkeley
Cafe Buenos Aires,Ashby
Emilia's Pizzeria,Ashby
La Familia,Ashby
Munch India,Ashby
Nick's Pizza,Ashby
The Brazilian Spot,24th St/Mission
Bamboo Asia,Montgomery St
Irma's Pampagna Restaurant,16th St/Mission
Turtle Tower,Civic Center/UN Plaza
Little Chihuahua,16th St/Mission
Taylor Street Coffee Shop,Powell St
Oori Rice Triangles,Downtown Berkeley
El Garage,Richmond
Los Cilantros,Ashby
Yank Sing,Embarcadero
La Taqueria,24th St/Mission
Esperpento,24th St/Mission
Tullio's,Walnut Creek
Una Pizza Napoletana,Civic Center/UN Plaza
Punjab Kabab House,Powell St
Shawarmaji,19th St/Oakland
dragoneats,Montgomery St
Oasis Grill,Montgomery St
The Double Standard,19th St/Oakland
Three Stone Hearth,North Berkeley
Bento House,12th St/Oakland City Center
Boba Guys,Montgomery St
Taqueria Mana,Montgomery St
Uncle Vito's Pizzeria,Powell St
The Cheesecake Factory,Powell St
Salty's,Civic Center/UN Plaza
The CAVALIER,Powell St
SOMA Restaurant & Bar,Powell St
Mariposas,Powell St
Heytea,Powell St
Peet's Coffee,Powell St
Sool Bar and Lounge,Montgomery St
Sutter Cafe,Montgomery St
New China,Union City
Dirty Habit,Powell St
Taco & Co.,Pittsburg Center
Cafe du Soleil,Montgomery St
SPiN SF,Montgomery St
Trace,Montgomery St
California Pizza Kitchen,Montgomery St
Lucy Blue,19th St/Oakland
Jump Start Coffee & Grocery,24th St/Mission
Pizza Marica,Rockridge
Menya Kanemaru,16th St/Mission
Pizza Zone N Grill,16th St/Mission
,24th St/Mission
Philz Coffee,Rockridge
Fort Point,Rockridge
T-Bear,Downtown Berkeley
Tupper & Reed,Downtown Berkeley
Crepes a Go Go,Downtown Berkeley
Rojbas Grill,Downtown Berkeley
Manzoni,Glen Park
Manora`s Thai Cuisine,16th St/Mission
The Willows,16th St/Mission
Mad Oak,Lake Merritt
Siam Orchid,Orinda
StreetTaco,Civic Center/UN Plaza
Turquaz,Civic Center/UN Plaza
Mourad,Montgomery St
Shoji,Montgomery St
Aburaya,19th St/Oakland
Novela,Montgomery St
SOMA Eats,Montgomery St
Natoma Cabana,Montgomery St
Siam Palace,Hayward
Golden Lotus,Civic Center/UN Plaza
Pho 2000,Civic Center/UN Plaza
Los 3 Cachanillas,Civic Center/UN Plaza
Hoa Phat,Civic Center/UN Plaza
Cafe 450 Eurest Dining,Civic Center/UN Plaza
Lone Palm,24th St/Mission
Taqueria Los Gallos,Concord
Haha Sushi Ramen,Hayward
Picaro,16th St/Mission
The Nite Cap,Civic Center/UN Plaza
La Pinata,Fremont
Idly Express,Fremont
Go Chaatzz!,Fremont
Sushi Ken,Fremont
Tigon,El Cerrito Plaza
Golden Gate Donuts,MacArthur
Kokio Republic,Powell St
D'Maize,Balboa Park
Taquerria Castillo B2,Powell St
Delam,24th St/Mission
NTR Biryani,24th St/Mission
Bottega,24th St/Mission
Mission's Kitchen,24th St/Mission
The Marsh Cafe,24th St/Mission
Drake's Dealership,19th St/Oakland
Mountain Mike's,Castro Valley
Yia-Yia's Sandwiches,Lake Merritt
Boulevard,Embarcadero
Victory Point Cafe,Downtown Berkeley
Spats,Downtown Berkeley
Agave Grill,Concord
Kura Revolving Sushi Bar,Downtown Berkeley
café suspiro,Civic Center/UN Plaza
North India,Montgomery St
Gum Kuo,12th St/Oakland City Center
Tian Jin Dumplings,12th St/Oakland City Center
Sobo Ramen,12th St/Oakland City Center
Binh Minh Quan,12th St/Oakland City Center
Biryani Kabab Halal Indian and Pakistani Cuisine,12th St/Oakland City Center
Spices 3!,12th St/Oakland City Center
Sweetheart Cafe,12th St/Oakland City Center
Spices Noodle House,12th St/Oakland City Center
Fresh & Best Cafe 2,12th St/Oakland City Center
Hello Stranger,19th St/Oakland
Alma,19th St/Oakland
Halal Burgers,Lake Merritt
The Legionnaire Saloon,19th St/Oakland
Bolo's Bites,19th St/Oakland
Kingston 11 Cuisine,19th St/Oakland
Que Rico,12th St/Oakland City Center
Sushi Villa,19th St/Oakland
Baba's House,12th St/Oakland City Center
The Hatch,12th St/Oakland City Center
